country,year,pop,continent,lifeExp,gdpPercap
Iran,1962,22874000,Asia,49.325,4187.329802
Iran,1972,30614000,Asia,55.234,9613.818607
Iran,1982,43072751,Asia,59.62,7608.334602
Iran,1992,60397973,Asia,65.742,7235.653188
Iran,2002,66907826,Asia,69.451,9240.761975
Iraq,1952,5441766,Asia,45.32,4129.766056
Iraq,1962,7240260,Asia,51.457,8341.737815
Iraq,1972,10061506,Asia,56.95,9576.037596
Iraq,1982,14173318,Asia,62.038,14517.90711
Iraq,1992,17861905,Asia,59.461,3745.640687
Iraq,2002,24001816,Asia,57.046,4390.717312
Israel,1952,1620914,Asia,65.39,4086.522128
Israel,1962,2310904,Asia,69.39,7105.630706
Israel,1972,3095893,Asia,71.63,12786.93223
Israel,1982,3858421,Asia,74.45,15367.0292
Israel,1992,4936550,Asia,76.93,18051.52254
Israel,2002,6029529,Asia,79.696,21905.59514
Japan,1952,86459025,Asia,63.03,3216.956347
Japan,1962,95831757,Asia,68.73,6576.649461
Japan,1972,107188273,Asia,73.42,14778.78636
Japan,1982,118454974,Asia,77.11,19384.10571
Japan,1992,124329269,Asia,79.36,26824.89511
Japan,2002,127065841,Asia,82,28604.5919
Jordan,1952,607914,Asia,43.158,1546.907807
Jordan,1962,933559,Asia,48.126,2348.009158
Jordan,1972,1613551,Asia,56.528,2110.856309
Jordan,1982,2347031,Asia,63.739,4161.415959
Jordan,1992,3867409,Asia,68.015,3431.593647
Jordan,2002,5307470,Asia,71.263,3844.917194
Korea Dem. Rep.,1952,8865488,Asia,50.056,1088.277758
Korea Dem. Rep.,1962,10917494,Asia,56.656,1621.693598
Korea Dem. Rep.,1972,14781241,Asia,63.983,3701.621503
Korea Dem. Rep.,1982,17647518,Asia,69.1,4106.525293
Korea Dem. Rep.,1992,20711375,Asia,69.978,3726.063507
Korea Dem. Rep.,2002,22215365,Asia,66.662,1646.758151
Korea Rep.,1952,20947571,Asia,47.453,1030.592226
Korea Rep.,1962,26420307,Asia,55.292,1536.344387
Korea Rep.,1972,33505000,Asia,62.612,3030.87665
Korea Rep.,1982,39326000,Asia,67.123,5622.942464
Korea Rep.,1992,43805450,Asia,72.244,12104.27872
Korea Rep.,2002,47969150,Asia,77.045,19233.98818
Kuwait,1952,160000,Asia,55.565,108382.3529
Kuwait,1962,358266,Asia,60.47,95458.11176
Kuwait,1972,841934,Asia,67.712,109347.867
Kuwait,1982,1497494,Asia,71.309,31354.03573
Kuwait,1992,1418095,Asia,75.19,34932.91959
Kuwait,2002,2111561,Asia,76.904,35110.10566
Lebanon,1952,1439529,Asia,55.928,4834.804067
Lebanon,1962,1886848,Asia,62.094,5714.560611
Lebanon,1972,2680018,Asia,65.421,7486.384341
Lebanon,1982,3086876,Asia,66.983,7640.519521
Lebanon,1992,3219994,Asia,69.292,6890.806854
Lebanon,2002,3677780,Asia,71.028,9313.93883
Malaysia,1952,6748378,Asia,48.463,1831.132894
Malaysia,1962,8906385,Asia,55.737,2036.884944
Malaysia,1972,11441462,Asia,63.01,2849.09478
Malaysia,1982,14441916,Asia,68,4920.355951
Malaysia,1992,18319502,Asia,70.693,7277.912802
Malaysia,2002,22662365,Asia,73.044,10206.97794
Mongolia,1952,800663,Asia,42.244,786.5668575
Mongolia,1962,1010280,Asia,48.251,1056.353958
Mongolia,1972,1320500,Asia,53.754,1421.741975
Mongolia,1982,1756032,Asia,57.489,2000.603139
Mongolia,1992,2312802,Asia,61.271,1785.402016
Mongolia,2002,2674234,Asia,65.033,2140.739323
Myanmar,1952,20092996,Asia,36.319,331
Myanmar,1962,23634436,Asia,45.108,388
Myanmar,1972,28466390,Asia,53.07,357
Myanmar,1982,34680442,Asia,58.056,424
Myanmar,1992,40546538,Asia,59.32,347
Myanmar,2002,45598081,Asia,59.908,611
Nepal,1952,9182536,Asia,36.157,545.8657229
Nepal,1962,10332057,Asia,39.393,652.3968593
Nepal,1972,12412593,Asia,43.971,674.7881296
Nepal,1982,15796314,Asia,49.594,718.3730947
Nepal,1992,20326209,Asia,55.727,897.7403604
Nepal,2002,25873917,Asia,61.34,1057.206311
New Zealand,1957,2229407,Oceania,70.26,12247.39532
New Zealand,1967,2728150,Oceania,71.52,14463.91893
New Zealand,1977,3164900,Oceania,72.22,16233.7177
New Zealand,1987,3317166,Oceania,74.32,19007.19129
New Zealand,1997,3676187,Oceania,77.55,21050.41377
New Zealand,2007,4115771,Oceania,80.204,25185.00911
Oman,1952,507833,Asia,37.578,1828.230307
Oman,1962,628164,Asia,43.165,2924.638113
Oman,1972,829050,Asia,52.143,10618.03855
Oman,1982,1301048,Asia,62.728,12954.79101
Oman,1992,1915208,Asia,71.197,18616.70691
Oman,2002,2713462,Asia,74.193,19774.83687
Pakistan,1952,41346560,Asia,43.436,684.5971438
Pakistan,1962,53100671,Asia,47.67,803.3427418
Pakistan,1972,69325921,Asia,51.929,1049.938981
Pakistan,1982,91462088,Asia,56.158,1443.429832
Pakistan,1992,120065004,Asia,60.838,1971.829464
Pakistan,2002,153403524,Asia,63.61,2092.712441
Philippines,1952,22438691,Asia,47.752,1272.880995
Philippines,1962,30325264,Asia,54.757,1649.552153
Philippines,1972,40850141,Asia,58.065,1989.37407
Philippines,1982,53456774,Asia,62.082,2603.273765
Philippines,1992,67185766,Asia,66.458,2279.324017
Philippines,2002,82995088,Asia,70.303,2650.921068
Saudi Arabia,1952,4005677,Asia,39.875,6459.554823
Saudi Arabia,1962,4943029,Asia,45.914,11626.41975
Saudi Arabia,1972,6472756,Asia,53.886,24837.42865
Saudi Arabia,1982,11254672,Asia,63.012,33693.17525
Saudi Arabia,1992,16945857,Asia,68.768,24841.61777
Saudi Arabia,2002,24501530,Asia,71.626,19014.54118
Singapore,1952,1127000,Asia,60.396,2315.138227
Singapore,1962,1750200,Asia,65.798,3674.735572
Singapore,1972,2152400,Asia,69.521,8597.756202
Singapore,1982,2651869,Asia,71.76,15169.16112
Singapore,1992,3235865,Asia,75.788,24769.8912
Singapore,2002,4197776,Asia,78.77,36023.1054
Sri Lanka,1952,7982342,Asia,57.593,1083.53203
Sri Lanka,1962,10421936,Asia,62.192,1074.47196
Sri Lanka,1972,13016733,Asia,65.042,1213.39553
Sri Lanka,1982,15410151,Asia,68.757,1648.079789
Sri Lanka,1992,17587060,Asia,70.379,2153.739222
Sri Lanka,2002,19576783,Asia,70.815,3015.378833
Syria,1952,3661549,Asia,45.883,1643.485354
Syria,1962,4834621,Asia,50.305,2193.037133
Syria,1972,6701172,Asia,57.296,2571.423014
Syria,1982,9410494,Asia,64.59,3761.837715
Syria,1992,13219062,Asia,69.249,3340.542768
Syria,2002,17155814,Asia,73.053,4090.925331
Taiwan,1952,8550362,Asia,58.5,1206.947913
Taiwan,1962,11918938,Asia,65.2,1822.879028
Taiwan,1972,15226039,Asia,69.39,4062.523897
Taiwan,1982,18501390,Asia,72.16,7426.354774
Taiwan,1992,20686918,Asia,74.26,15215.6579
Taiwan,2002,22454239,Asia,76.99,23235.42329
Thailand,1952,21289402,Asia,50.848,757.7974177
Thailand,1962,29263397,Asia,56.061,1002.199172
Thailand,1972,39276153,Asia,60.405,1524.358936
Thailand,1982,48827160,Asia,64.597,2393.219781
Thailand,1992,56667095,Asia,67.298,4616.896545
Thailand,2002,62806748,Asia,68.564,5913.187529
Vietnam,1952,26246839,Asia,40.412,605.0664917
Vietnam,1962,33796140,Asia,45.363,772.0491602
Vietnam,1972,44655014,Asia,50.254,699.5016441
Vietnam,1982,56142181,Asia,58.816,707.2357863
Vietnam,1992,69940728,Asia,67.662,989.0231487
Vietnam,2002,80908147,Asia,73.017,1764.456677
West Bank and Gaza,1952,1030585,Asia,43.16,1515.592329
West Bank and Gaza,1962,1133134,Asia,48.127,2198.956312
West Bank and Gaza,1972,1089572,Asia,56.532,3133.409277
West Bank and Gaza,1982,1425876,Asia,64.406,4336.032082
West Bank and Gaza,1992,2104779,Asia,69.718,6017.654756
West Bank and Gaza,2002,3389578,Asia,72.37,4515.487575
Yemen Rep.,1952,4963829,Asia,32.548,781.7175761
Yemen Rep.,1962,6120081,Asia,35.18,825.6232006
Yemen Rep.,1972,7407075,Asia,39.848,1265.047031
Yemen Rep.,1982,9657618,Asia,49.113,1977.55701
Yemen Rep.,1992,13367997,Asia,55.599,1879.496673
Yemen Rep.,2002,18701257,Asia,60.308,2234.820827
